DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES
2001-03-14,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,81.05,81.05,81.05,81.05,81.05,81.05,84.0,2,100000,8105.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-03-14,02,TSEP11,10,TELE SUDESTE,ON *TRJ,0,R$,6.3,6.3,6.3,6.3,6.3,6.21,6.7,1,200000,1260.0,0.0,0,9999-12-31,1000,0.0,BRTSEPA01OR8,100
2001-03-15,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,82.0,82.0,82.0,82.0,82.0,81.5,84.0,4,700000,57400.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-03-15,02,TMGR11,10,TELEMIG,PNE*,0,R$,75.01,75.01,75.01,75.01,75.01,75.0,0.0,1,40000,3000.4,0.0,0,9999-12-31,1000,0.0,BRTMGRACNPE6,230
2001-03-19,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,81.5,81.5,81.5,81.5,81.5,81.5,83.0,1,10000,815.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-03-20,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,81.8,81.8,81.5,81.72,81.5,81.25,82.0,4,400000,32690.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-03-21,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.1,2.1,2.1,2.1,2.1,1.95,2.2,1,1000,2100.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,66
2001-03-21,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,82.0,82.0,81.8,81.98,81.8,81.8,83.0,4,1080000,88544.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-03-22,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,81.2,81.2,80.0,80.91,80.0,79.0,83.0,9,11420000,924042.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-03-23,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,80.0,80.0,80.0,80.0,80.0,79.01,83.0,2,2530000,202400.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-03-23,02,IBOV11,10,IBOVESPA,IBO,0,R$,14183.0,14183.0,14183.0,14183.0,14183.0,0.0,0.0,1,3000,42549000.0,0.0,0,9999-12-31,1,0.0,BRIBOVINDM18,0
2001-03-26,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,80.0,80.0,80.0,80.0,80.0,80.0,82.0,1,2660000,212800.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-03-26,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.1,2.1,2.1,2.1,2.1,1.95,2.2,1,6000,12600.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,66
2001-03-27,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,80.0,82.5,80.0,81.88,82.5,81.5,82.5,7,770000,63015.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-03-28,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,83.0,83.0,82.0,82.5,82.0,80.0,82.0,2,200000,16500.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-03-29,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,82.0,82.0,82.0,82.0,82.0,77.01,82.0,1,100000,8200.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-04-03,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,2.0,2.0,2.0,2.0,2.0,2.0,2.2,2,2000,4000.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,66
2001-04-03,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,80.5,80.5,80.5,80.5,80.5,80.5,81.0,1,1000000,80500.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-04-04,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,80.5,80.5,80.49,80.49,80.49,78.21,80.49,6,440000,35419.6,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-04-05,02,BRGE11,10,ALFA CONSORC,PNE,0,R$,1.96,1.96,1.95,1.95,1.95,1.95,2.2,2,3000,5870.0,0.0,0,9999-12-31,1,0.0,BRBRGEACNPE1,66
2001-04-05,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,80.0,80.5,80.0,80.47,80.5,79.21,81.0,6,830000,66791.6,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
2001-04-06,02,PALF11,10,PAUL F LUZ,PRC*,0,R$,81.0,81.0,80.5,80.7,80.5,80.5,83.0,2,170000,13720.0,0.0,0,9999-12-31,1000,0.0,BRPALFARNPC6,101
