2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
BEPA3,BFIT4,BFIT3,BIOM3,BMTO3,BNBR4,BMKS3,BMEB3,BMKS3,BOBR4,BNCA3,BRAP3,BRAP4,BPNM4,BRFS3,BRGE6,BRGE8,BRFS3,BRFS3,BRFS3,BPAN4,BMIN4,BMIN4,BNBR3,BMKS3,BMIN4,BPAC5
BEPA4,BGIP4,BFIT4,BIOM4,BMTO4,BNCA3,BMTO3,BMEB4,BMTO3,BPIA3,BOBR4,BRAP4,BRFS3,BRAP3,BRGE3,BRGE7,BRIN3,BRGE3,BRGE3,BRGE3,BRAP3,BMKS3,BMKS3,BOAS3,BMOB3,BMKS3,BPAN4
BESP3,BGOS3,BGIP3,BMCT3,BNBR3,BOBR4,BMTO4,BMEF3,BMTO4,BPNM4,BPNM4,BRFS3,BRGE3,BRAP4,BRGE6,BRGE8,BRIV3,BRGE6,BRGE5,BRGE5,BRAP4,BMOB3,BMOB3,BOBR4,BNBR3,BMOB3,BRAP3
BESP4,BGOS4,BGIP4,BMCT4,BNBR4,BPIA3,BNBR3,BMIN3,BNBR3,BRAP3,BRAP3,BRGE3,BRGE6,BRFS3,BRGE8,BRIN3,BRIV4,BRGE8,BRGE6,BRGE6,BRDT3,BNBR3,BNBR3,BPAC3,BOBR4,BNBR3,BRAP4
BEXC4,BHEQ3,BGOS3,BMEB3,BOBR4,BRAP3,BNBR4,BMIN4,BNBR4,BRAP4,BRAP4,BRGE5,BRGE7,BRGE3,BRIN3,BRIV3,BRKM3,BRIN3,BRGE7,BRGE7,BRFS3,BOAS3,BOAS3,BPAC5,BPAC3,BOBR4,BRAV3
BFIT3,BHEQ4,BGOS4,BMEB4,BPAR3,BRAP4,BNCA3,BMKS3,BNCA3,BRFS3,BRFS3,BRGE6,BRGE8,BRGE5,BRIV3,BRIV4,BRKM5,BRIV3,BRGE8,BRGE8,BRGE3,BOBR4,BOBR4,BPAN4,BPAC5,BPAC3,BRKM3
BFIT4,BIOB4,BHEQ3,BMIN3,BPIA3,BRGE3,BOBR4,BMTO3,BOBR4,BRGE3,BRGE3,BRGE7,BRIN3,BRGE6,BRIV4,BRKM3,BRKM6,BRIV4,BRIN3,BRIV3,BRGE5,BPAC3,BPAC3,BRAP3,BPAN4,BPAC5,BRKM5
BGIP3,BIVT4,BHEQ4,BMIN4,BRAP3,BRGE5,BPIA3,BMTO4,BOVH3,BRGE5,BRGE5,BRGE8,BRIV3,BRGE7,BRKM3,BRKM5,BRML3,BRKM3,BRIV3,BRIV4,BRGE6,BPAC5,BPAC5,BRAP4,BRAP3,BPAN4,BRKM6
BGIP4,BMCT3,BIOB3,BMKS3,BRAP4,BRGE6,BRAP3,BNBR3,BPIA3,BRGE6,BRGE6,BRIN3,BRIV4,BRGE8,BRKM5,BRKM6,BRPR3,BRKM5,BRIV4,BRKM3,BRGE8,BPAN4,BPAN4,BRFS3,BRAP4,BRAP3,BRSR3
BGOS3,BMCT4,BIOB4,BMTO3,BRGE3,BRGE7,BRAP4,BNBR4,BPNM4,BRGE7,BRGE7,BRIV3,BRKM3,BRIN3,BRKM6,BRML3,BRSR3,BRKM6,BRKM3,BRKM5,BRIV3,BRAP3,BRAP3,BRGE3,BRAV3,BRAP4,BRSR5
