DATAPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,TOTNEG,QUATOT,VOLTOT,FATCOT,CODISI
2026-01-02,96,MGLU3F,20,MAGAZ LUIZA,ON  EB  NM,R$,8.94,9.12,8.74,8.88,8.74,2308,32185,285969.83,1,BRMGLUACNOR2
2026-01-02,96,NGRD3F,20,NEOGRID,ON      NM,R$,27.74,27.85,27.54,27.74,27.76,71,1022,28352.49,1,BRNGRDACNOR3
2026-01-02,96,NORD3F,20,NORDON MET,ON,R$,4.2,4.2,4.2,4.2,4.2,1,10,42.0,1,BRNORDACNOR7
2026-01-02,96,NUTR3F,20,NUTRIPLANT,ON      MA,R$,2.67,2.67,2.55,2.62,2.55,10,25,65.53,1,BRNUTRACNOR0
2026-01-02,96,SMFT3F,20,SMART FIT,ON      NM,R$,23.4,23.45,22.8,23.06,23.14,443,6299,145288.82,1,BRSMFTACNOR1
2026-01-02,96,CLSC3F,20,CELESC,ON  EJ  N2,R$,114.04,116.65,114.04,116.15,116.64,8,23,2671.61,1,BRCLSCACNOR6
2026-01-02,96,AURE3F,20,AUREN,ON      NM,R$,11.94,11.99,11.64,11.77,11.73,1728,24927,293597.08,1,BRAUREACNOR9
2026-01-02,96,ATED3F,20,ATOM EDUC,ON,R$,1.99,2.09,1.99,2.02,2.0,17,147,298.03,1,BRATEDACNOR1
2026-01-02,96,CGRA4F,20,GRAZZIOTIN,PN  EDB,R$,26.16,27.9,26.09,26.51,27.9,190,2699,71565.1,1,BRCGRAACNPR9
2026-01-02,96,CGRA3F,20,GRAZZIOTIN,ON  EDB,R$,27.78,29.8,27.5,28.31,28.0,63,581,16451.55,1,BRCGRAACNOR2
2026-01-02,96,RPAD6F,20,ALFA HOLDING,PNB,R$,5.0,5.0,4.0,4.01,4.0,4,79,317.0,1,BRRPADACNPB2
2026-01-02,96,RPAD5F,20,ALFA HOLDING,PNA ED,R$,6.97,6.97,6.95,6.95,6.95,4,23,159.88,1,BRRPADACNPA4
2026-01-02,96,RPAD3F,20,ALFA HOLDING,ON,R$,5.35,5.35,5.35,5.35,5.35,1,1,5.35,1,BRRPADACNOR1
2026-01-02,96,MRVE3F,20,MRV,ON      NM,R$,7.86,7.9,7.63,7.71,7.65,704,10597,81756.39,1,BRMRVEACNOR2
2026-01-02,96,MRSA3BF,20,MRS LOGIST,ON      MB,R$,44.05,45.56,38.01,40.0,38.01,7,33,1320.0,1,BRMRSAACNOR6
2026-01-02,96,MOVI3F,20,MOVIDA,ON  EJ  NM,R$,9.75,10.1,9.75,9.92,9.83,417,7160,71060.7,1,BRMOVIACNOR0
2026-01-02,96,LREN3F,20,LOJAS RENNER,ON      NM,R$,13.6,13.79,13.24,13.42,13.24,1350,20084,269604.92,1,BRLRENACNOR1
2026-01-02,96,BEES3F,20,BANESTES,ON  EDJ,R$,8.14,8.16,8.11,8.13,8.12,733,6239,50763.37,1,BRBEESACNOR9
2026-01-02,96,BEES4F,20,BANESTES,PN  EDJ,R$,8.19,8.5,8.1,8.21,8.1,357,2781,22854.78,1,BRBEESACNPR6
2026-01-02,96,GEPA4F,20,GER PARANAP,PN  ED,R$,32.1,36.71,32.0,33.9,33.01,49,435,14748.59,1,BRGEPAACNPR9
2026-01-02,96,LPSB3F,20,LOPES BRASIL,ON      NM,R$,1.72,1.75,1.68,1.7,1.69,90,1435,2450.43,1,BRLPSBACNOR0
2026-01-02,96,LOGN3F,20,LOG-IN,ON      NM,R$,33.32,33.6,32.81,33.22,33.08,31,449,14920.17,1,BRLOGNACNOR3
2026-01-02,96,LOGG3F,20,LOG COM PROP,ON  ED  NM,R$,24.27,25.02,24.26,24.62,24.71,479,5441,133987.66,1,BRLOGGACNOR7
2026-01-02,96,LJQQ3F,20,QUERO-QUERO,ON      NM,R$,2.18,2.23,2.09,2.13,2.13,347,5899,12623.35,1,BRLJQQACNOR5
2026-01-02,96,LIGT3F,20,LIGHT S/A,ON      NM,R$,4.78,4.8,4.56,4.66,4.6,189,3232,15078.66,1,BRLIGTACNOR2
2026-01-02,96,LEVE3F,20,METAL LEVE,ON      NM,R$,33.82,34.63,33.16,33.63,33.36,1187,12668,426132.17,1,BRLEVEACNOR2
2026-01-02,96,LAVV3F,20,LAVVI,ON      NM,R$,15.98,16.19,15.6,15.87,15.6,1198,11459,181907.08,1,BRLAVVACNOR4
2026-01-02,96,LAND3F,20,TERRASANTAPA,ON      NM,R$,8.4,9.39,8.4,8.84,8.59,40,294,2600.09,1,BRLANDACNOR9
2026-01-02,96,ANIM3F,20,ANIMA,ON      NM,R$,3.31,3.38,3.24,3.3,3.36,284,4889,16134.43,1,BRANIMACNOR6
2026-01-02,96,AMOB3F,20,AUTOMOB,ON      NM,R$,12.53,13.33,12.43,12.98,12.71,229,2368,30758.81,1,BRAMOBACNOR9
2026-01-02,96,AMER3F,20,AMERICANAS,ON      NM,R$,5.15,5.3,5.02,5.09,5.22,823,10371,52877.41,1,BRAMERACNOR6
2026-01-02,96,AMBP3F,20,AMBIPAR,ON      NM,R$,0.28,0.32,0.27,0.29,0.29,754,16897,4923.18,1,BRAMBPACNOR6
2026-01-02,96,AMAR3F,20,LOJAS MARISA,ON      NM,R$,1.02,1.03,1.01,1.01,1.01,152,1605,1634.52,1,BRAMARACNOR4
2026-01-02,96,ALUP3F,20,ALUPAR,ON  ED  N2,R$,11.57,12.38,11.57,11.85,11.73,110,1099,13032.07,1,BRALUPACNOR8
2026-01-02,96,ALUP11F,20,ALUPAR,UNT ED  N2,R$,31.84,32.0,31.64,31.86,31.88,631,8359,266329.4,1,BRALUPCDAM15
2026-01-02,96,ALPK3F,20,ESTAPAR,ON      NM,R$,4.81,4.85,4.68,4.82,4.69,1698,60672,292647.21,1,BRALPKACNOR9
2026-01-02,96,ALPA4F,20,ALPARGATAS,PN      N1,R$,11.97,11.99,11.64,11.78,11.74,447,5395,63568.41,1,BRALPAACNPR7
2026-01-02,96,ALPA3F,20,ALPARGATAS,ON      N1,R$,10.9,10.9,10.38,10.58,10.38,156,1606,17002.16,1,BRALPAACNOR0
2026-01-02,96,ALUP4F,20,ALUPAR,PN  ED  N2,R$,9.96,11.4,9.9,10.06,10.15,262,3139,31581.45,1,BRALUPACNPR5
2026-01-02,96,BGIP3F,20,BANESE,ON,R$,42.9,42.9,42.9,42.9,42.9,1,1,42.9,1,BRBGIPACNOR1
2026-01-02,96,BGIP4F,20,BANESE,PN,R$,34.8,36.38,32.8,34.37,34.72,41,241,8283.51,1,BRBGIPACNPR8
2026-01-02,96,BHIA3F,20,CASAS BAHIA,ON      NM,R$,3.15,3.15,3.06,3.09,3.1,583,7274,22529.82,1,BRBHIAACNOR1
